sample_id,model,language,mean_sim
4,earth,en,0.9654383659362793
4,fire,en,0.9375942349433899
4,global,en,0.9999998807907104
4,water,en,0.9480699896812439
5,earth,ar,0.9598215818405151
5,fire,ar,0.9424969553947449
5,global,ar,0.9716561436653137
5,water,ar,0.9581737518310547
11,earth,th,0.6980952024459839
11,fire,th,0.6765786409378052
11,global,th,0.8337518572807312
11,water,th,0.6075080037117004
15,earth,de,0.9944589734077454
15,fire,de,0.7766188383102417
15,global,de,0.8906292915344238
15,water,de,0.7453185319900513
19,earth,de,0.7021064758300781
19,fire,de,0.6731769442558289
19,global,de,0.5934435129165649
19,water,de,0.8222710490226746
24,earth,ru,0.9353981018066406
24,earth,th,0.8435567021369934
24,fire,ru,0.9663050770759583
24,fire,th,0.8413705825805664
24,global,ru,0.9399305582046509
24,global,th,0.932780921459198
24,water,ru,0.9430537223815918
24,water,th,0.8252463340759277
26,earth,zh,0.9574001431465149
26,fire,zh,0.9236995577812195
26,global,zh,0.9374583959579468
26,water,zh,0.9178987741470337
30,earth,ar,0.7763976454734802
30,fire,ar,0.9733047485351562
30,global,ar,1.0000001192092896
30,water,ar,0.9846305847167969
33,earth,de,0.9080764055252075
33,fire,de,0.9579833149909973
33,global,de,0.957696259021759
33,water,de,0.904069721698761
53,earth,en,0.9999998211860657
53,fire,en,0.9999998211860657
53,global,en,0.9288395643234253
53,water,en,0.9999998211860657
56,earth,en,0.7048835158348083
56,fire,en,0.8027834892272949
56,global,en,0.9923213720321655
56,water,en,0.914575457572937
63,earth,ar,0.9536519050598145
63,fire,ar,0.9218761920928955
63,global,ar,0.8398910760879517
63,water,ar,0.9121559858322144
69,earth,ar,0.8491572141647339
69,fire,ar,0.8597862124443054
69,global,ar,0.7492720484733582
69,water,ar,0.8547616004943848
75,earth,de,0.9122406244277954
75,fire,de,0.9869057536125183
75,global,de,0.9610045552253723
75,water,de,0.9753658175468445
77,earth,th,0.729472279548645
77,fire,th,0.7515209913253784
77,global,th,0.7784304022789001
77,water,th,0.8047001957893372
89,earth,de,0.6529303789138794
89,earth,th,0.8912461996078491
89,fire,de,0.6119188070297241
89,fire,th,0.8605416417121887
89,global,de,0.8121668100357056
89,global,th,1.0000001192092896
89,water,de,0.6626585125923157
89,water,th,0.8918172717094421
92,fire,de,0.7155181765556335
92,global,de,0.699492335319519
96,earth,ru,0.9324641227722168
96,fire,ru,0.8828436732292175
96,global,ru,0.7574806809425354
96,water,ru,0.8883883357048035
108,earth,ar,0.9415699243545532
108,fire,ar,0.8736157417297363
108,global,ar,0.9371206164360046
108,water,ar,0.9309030771255493
114,earth,ru,0.6208046078681946
114,fire,ru,0.6257277727127075
114,global,ru,0.837325394153595
114,water,ru,0.7657333016395569
118,earth,ru,0.8029864430427551
118,fire,ru,0.6781958937644958
118,global,ru,0.6284228563308716
118,water,ru,0.7289128303527832
127,earth,th,0.7099925875663757
127,fire,th,0.679100751876831
127,global,th,0.6889508962631226
127,water,th,0.6514397263526917
130,earth,zh,0.888757050037384
130,fire,zh,0.8544973134994507
130,global,zh,0.8428157567977905
130,water,zh,0.8621753454208374
131,earth,ru,0.9999998211860657
131,fire,ru,0.9828124046325684
131,global,ru,0.8070311546325684
131,water,ru,0.6652165651321411
138,earth,de,0.8647438287734985
138,fire,de,0.7841893434524536
138,global,de,0.8669412732124329
138,water,de,0.9396430253982544
139,earth,zh,0.929249107837677
139,fire,zh,0.9292491674423218
139,global,zh,0.6524385213851929
139,water,zh,0.929249107837677
144,earth,th,0.7614962458610535
144,fire,th,0.7734988927841187
144,global,th,0.7051517367362976
144,water,th,0.7980180978775024
149,earth,zh,0.7830621004104614
149,fire,zh,0.8590267896652222
149,global,zh,0.7721891403198242
149,water,zh,0.8184587359428406
163,earth,ru,0.9351726174354553
163,fire,ru,1.0
163,global,ru,0.9999998807907104
163,water,ru,1.0
182,earth,en,0.5083961486816406
182,fire,en,0.9896550178527832
182,global,en,0.9716658592224121
182,water,en,0.5049750804901123
183,global,ar,0.8349429368972778
184,earth,en,0.9999998807907104
184,fire,en,0.9999998807907104
184,global,en,0.9934023022651672
